rank,title,year,country,genres,description
1,Побег из Шоушенка,1994,United States,Драма,"Неправомерно осужденный банкир на протяжении четверти века формирует близкую дружбу с закоренелым преступником, сохраняя при этом свою человечность благодаря простым проявлениям сострадания."
2,Крестный отец,1972,United States,"криминал, драма",Стареющий глава династии организованной преступности передает контроль над своей тайной империей своему сопротивляющемуся сыну.
3,Тёмный рыцарь,2008,United States,"Боевик, Криминал, Драма","Когда угроза, известная как Джокер, сеет хаос и хаос среди жителей Готэма, Бэтмен, Джеймс Гордон и Харви Дент должны работать вместе, чтобы положить конец безумию."
4,Крестный отец 2,1974,United States,"криминал, драма","Описаны ранние годы жизни и карьера Вито Корлеоне в Нью-Йорке 1920-х годов, в то время как его сын Майкл расширяет и ужесточает контроль над семейным преступным синдикатом."
5,12 разгневанных мужчин,1957,United States,"криминал, драма","Присяжные по делу об убийстве в Нью-Йорке разочарованы одним членом, чья скептическая осторожность заставляет их более тщательно рассматривать доказательства, прежде чем выносить поспешный вердикт."
6,Властелин колец: Возвращение короля,2003,New Zealand,"Приключения, Драма, Фэнтези","Гэндальф и Арагорн ведут Мир Людей против армии Саурона, чтобы отвлечь его взгляд от Фродо и Сэма, когда они приближаются к Роковой горе с Единым Кольцом."
7,Список Шиндлера,1993,United States,"Биография, Драма, История","В оккупированной немцами Польше во время Второй мировой войны промышленник Оскар Шиндлер постепенно начинает беспокоиться о своей еврейской рабочей силе после того, как стал свидетелем их преследования со стороны нацистов."
8,Властелин колец: Братство кольца,2001,New Zealand,"Приключения, Драма, Фэнтези","Кроткий хоббит из Шира и восемь его спутников отправляются в путешествие, чтобы уничтожить могущественное Единое Кольцо и спасти Средиземье от Темного Лорда Саурона."
9,Криминальное чтиво,1994,United States,"криминал, драма","Жизни двух наемных убийц, боксера, гангстера и его жены, а также пары бандитов из закусочной переплетаются в четырех историях о насилии и искуплении."
10,"Хороший, плохой, злой",1966,Italy,"приключения, драма, вестерн","Мошенничество с охотой за головами объединяет двух мужчин в непростой союз против третьего в гонке за сокровищами в золоте, похороненными на отдаленном кладбище."
11,Властелин колец: Две крепости,2002,New Zealand,"Приключения, Драма, Фэнтези","В то время как Фродо и Сэм приближаются к Мордору с помощью хитрого Голлума, разделенное сообщество противостоит новому союзнику Саурона, Саруману, и его ордам Изенгарда."
12,Форрест Гамп,1994,United States,"Драма, Романтика","История Соединенных Штатов с 1950-х по 70-е годы разворачивается с точки зрения жителя Алабамы с IQ 75, который жаждет воссоединения со своей возлюбленной детства."
